subj,month,CDIcomp,CDIprod,CDInounprod
794,6,3,0,NA
794,7,5,0,NA
794,8,18,0,NA
794,9,23,0,NA
794,10,49,0,NA
794,11,71,6,NA
794,12,108,14,NA
794,13,187,77,NA
794,14,257,145,NA
794,15,299,226,NA
794,16,345,288,NA
794,17,376,372,NA
794,18,383,378,225
294,6,1,0,NA
294,7,4,1,NA
294,8,14,1,NA
294,9,23,1,NA
294,10,46,3,NA
294,11,77,9,NA
294,12,128,17,NA
294,13,167,27,NA
294,14,216,32,NA
294,15,261,76,NA
294,16,292,125,NA
294,17,315,184,NA
294,18,347,223,152
126,6,4,0,NA
126,7,3,0,NA
126,8,21,0,NA
126,9,27,0,NA
126,10,55,0,NA
126,11,71,0,NA
126,12,102,0,NA
126,13,119,0,NA
126,14,152,0,NA
126,15,192,4,NA
126,16,231,12,NA
126,17,270,27,NA
126,18,310,32,11
255,6,12,0,NA
255,7,30,1,NA
255,8,36,1,NA
255,9,71,1,NA
255,10,83,2,NA
255,11,103,2,NA
255,12,123,2,NA
255,13,135,3,NA
255,14,174,5,NA
255,15,195,5,NA
255,16,261,5,NA
255,17,273,5,NA
255,18,296,5,NA
465,6,0,0,NA
465,7,10,0,NA
465,8,27,0,NA
465,9,30,0,NA
465,10,34,0,NA
465,11,48,0,NA
465,12,74,2,NA
465,13,112,2,NA
465,14,146,6,NA
465,15,167,14,NA
465,16,179,17,NA
465,17,213,26,NA
465,18,255,29,17
357,6,66,0,NA
357,7,74,1,NA
357,8,124,2,NA
357,9,189,2,NA
357,10,233,2,NA
357,11,274,2,NA
357,12,287,2,NA
357,13,313,4,NA
357,14,334,16,NA
357,15,361,24,NA
357,16,376,28,NA
357,17,384,33,NA
357,18,385,40,16
521,6,2,0,NA
521,7,10,2,NA
521,8,34,2,NA
521,9,41,4,NA
521,10,48,10,NA
521,11,95,16,NA
521,12,127,22,NA
521,13,221,38,NA
521,14,242,77,NA
521,15,264,110,NA
521,16,286,143,NA
521,17,316,191,NA
521,18,336,232,150
274,6,5,0,NA
274,7,53,0,NA
274,8,77,0,NA
274,9,102,0,NA
274,10,158,0,NA
274,11,192,0,NA
274,12,219,2,NA
274,13,239,8,NA
274,14,254,32,NA
274,15,296,37,NA
274,16,309,40,NA
274,17,330,63,NA
274,18,335,138,84
828,6,0,0,NA
828,7,0,0,NA
828,8,7,0,NA
828,9,8,2,NA
828,10,8,2,NA
828,11,10,3,NA
828,12,15,6,NA
