month,awc_perhr,cvc_perhr,ctc_perhr,awc_outlier,ctc_outlier,cvc_outlier,subj
6,881.0625,75.8125,23.5625,FALSE,FALSE,FALSE,794
7,874.3125,54.0625,18.375,FALSE,FALSE,FALSE,794
8,889.1875,76,18.375,FALSE,FALSE,FALSE,794
9,886.125,88.4375,19.3125,FALSE,FALSE,FALSE,794
10,1585.5625,111.4375,34.75,FALSE,FALSE,FALSE,794
11,1348.5625,116.5625,34.75,FALSE,FALSE,FALSE,794
12,1931,118.4375,37.9375,FALSE,FALSE,FALSE,794
13,1108.25,165.4375,40.8125,FALSE,FALSE,FALSE,794
14,947.1875,133.75,30,FALSE,FALSE,FALSE,794
15,1564.875,206,64.625,FALSE,FALSE,FALSE,794
16,896.5625,162,30.4375,FALSE,FALSE,FALSE,794
17,773.3125,144.6875,26.4375,FALSE,FALSE,FALSE,794
6,1320.8125,66.5,23.3125,FALSE,FALSE,FALSE,294
7,1334.4375,75.6875,30.5,FALSE,FALSE,FALSE,294
8,1257.1875,116.5,35.9375,FALSE,FALSE,FALSE,294
9,1652.875,126.6875,40.875,FALSE,FALSE,FALSE,294
10,987.5,85.3125,18.125,FALSE,FALSE,FALSE,294
11,1391.4375,111.75,31.125,FALSE,FALSE,FALSE,294
12,870.625,47.9375,17.375,FALSE,FALSE,FALSE,294
13,969.625,83,28.9375,FALSE,FALSE,FALSE,294
14,838.3125,53.3125,16.5,FALSE,FALSE,FALSE,294
15,1186.625,68.0625,26.0625,FALSE,FALSE,FALSE,294
16,1170.75,91.3125,30.5625,FALSE,FALSE,FALSE,294
17,632.6875,88.875,20.875,FALSE,FALSE,FALSE,294
6,1211.9375,76.0625,23.375,FALSE,FALSE,FALSE,126
7,842.3125,45.6875,10.8125,FALSE,FALSE,FALSE,126
8,690.125,38.6875,8.625,FALSE,FALSE,FALSE,126
9,911.3125,55.1875,16.4375,FALSE,FALSE,FALSE,126
10,957.875,54.0625,13.5625,FALSE,FALSE,FALSE,126
11,1449.875,80.8125,20.5,FALSE,FALSE,FALSE,126
12,920.25,42.9375,10.4375,FALSE,FALSE,FALSE,126
13,670.5,129.5,16.9375,FALSE,FALSE,FALSE,126
14,863.375,119.0625,21.8125,FALSE,FALSE,FALSE,126
15,577.4375,123.875,19.3125,FALSE,FALSE,FALSE,126
16,746.9375,120.75,22.125,FALSE,FALSE,FALSE,126
17,1241.75,123.5625,29.9375,FALSE,FALSE,FALSE,126
6,1730.0508303857955,113.5883441474784,42.33210746995854,FALSE,FALSE,FALSE,255
7,1779.99776411403,72.92565679150364,30.506428172163226,FALSE,FALSE,FALSE,255
8,1758.3516803057366,145.6569600797574,48.82648610476467,FALSE,FALSE,FALSE,255
9,2147.677946324387,214.98249708284715,74.49241540256709,FALSE,TRUE,FALSE,255
10,1662.7378310241547,162.43401064448707,54.29981253636148,FALSE,FALSE,FALSE,255
11,1971.5329500722155,177.19124352184872,63.515618362549915,FALSE,FALSE,FALSE,255
12,1892.0054916041825,119.56912028725314,44.481993874749186,FALSE,FALSE,FALSE,255
