month,region_num,onset,offset,subj
06,1,39300000,42900000,794
06,2,14400000,18000000,794
06,3,23400000,27000000,794
07,1,12900000,16500000,794
07,2,35700000,39300000,794
07,3,30900000,34500000,794
08,1,6300000,9900000,794
08,2,18900000,22500000,794
08,3,33600000,37200000,794
09,1,26100000,29700000,794
09,2,12300000,15900000,794
09,3,17100000,20700000,794
10,1,43800000,47400000,794
10,2,5400000,9000000,794
10,3,35400000,39000000,794
11,1,30300000,33900000,794
11,2,26400000,30000000,794
11,3,3600000,7200000,794
12,1,21600000,25200000,794
12,2,5700000,9300000,794
12,3,40200000,43800000,794
13,1,4200000,7800000,794
13,2,28500000,32100000,794
13,3,33000000,36600000,794
14,1,18000000,21600000,794
14,2,0,3600000,794
14,3,6000000,9600000,794
15,1,30900000,34500000,794
15,2,12300000,15900000,794
15,3,36000000,39600000,794
16,1,3000000,6600000,794
16,2,33600000,37200000,794
16,3,7200000,10800000,794
17,1,2100000,5700000,794
17,2,12000000,15600000,794
17,3,8400000,12000000,794
06,1,23400000,27000000,294
06,2,3300000,6900000,294
06,3,10200000,13800000,294
07,1,29100000,32700000,294
07,2,7500000,11100000,294
07,3,2100000,5700000,294
08,1,29400000,33000000,294
08,2,3600000,7200000,294
08,3,35100000,38700000,294
09,1,36300000,39900000,294
09,2,2700000,6300000,294
09,3,32700000,36300000,294
10,1,30600000,34200000,294
10,2,35700000,39300000,294
10,3,6600000,10200000,294
11,1,3600000,7200000,294
11,2,37200000,40800000,294
11,3,41400000,45000000,294
12,1,14700000,18300000,294
12,2,11100000,14700000,294
12,3,300000,3900000,294
13,1,4800000,8400000,294
13,2,10200000,13800000,294
13,3,33600000,37200000,294
14,1,1500000,5100000,294
14,2,24600000,28200000,294
14,3,33600000,37200000,294
15,1,36000000,39600000,294
15,2,12900000,16500000,294
15,3,1200000,4800000,294
16,1,28800000,32400000,294
16,2,38700000,42300000,294
16,3,32700000,36300000,294
17,1,30300000,33900000,294
17,2,300000,3900000,294
17,3,5700000,9300000,294
06,1,15900000,19500000,126
06,2,29700000,33300000,126
06,3,5700000,9300000,126
07,1,18300000,21900000,126
07,2,32400000,36000000,126
07,3,6300000,9900000,126
08,1,31800000,35400000,126
08,2,9000000,12600000,126
08,3,3000000,6600000,126
09,1,18600000,22200000,126
09,2,22200000,25800000,126
09,3,35100000,38700000,126
10,1,5700000,9300000,126
10,2,0,3600000,126
10,3,38400000,42000000,126
11,1,1200000,4800000,126
11,2,5100000,8700000,126
11,3,39300000,42900000,126
12,1,32400000,36000000,126
12,2,4800000,8400000,126
